*Medium	*N	*Notes	*Original Ref	*Phase	*Species	*Strain	*Tax ID	*Temp	Br-C10:0	Br-C11:0	Br-C12:0	Br-C13:0	Br-C13:1	Br-C14:0	Br-C14:1	Br-C15:0	Br-C15:1	Br-C15:2	Br-C16:0	Br-C16:1	Br-C17:0	Br-C17:1	Br-C17:2	Br-C18:0	Br-C18:1	Br-C19:0	Br-C19:1	Br-C20:0	Br-C20:1	C10:0	C10:1	C11:0	C11:1	C12:0	C12:1	C12:3	C13:0	C13:1	C14:0	C14:1	C14:2	C15:0	C15:1	C16:0	C16:1	C16:2	C16:3	C16:4	C17:0	C17:1	C17:2	C17:3	C18:0	C18:1	C18:2	C18:3	C18:4	C18:5	C19:0	C19:1	C20:0	C20:1	C20:2	C20:3	C20:4	C20:5	C20:6	C21:0	C22:0	C22:1	C22:2	C22:3	C22:4	C22:5	C22:6	C23:0	C23:1	C24:0	C24:1	C25:0	C26:0	C26:1	C28:0	C30:0	C6:0	C6:1	C8:0	C8:1	C9:0	C9:1	Cyc-C13:0	Cyc-C15:0	Cyc-C16:0	Cyc-C17:0	Cyc-C18:0	Cyc-C18:1	Cyc-C19:0	Cyc-C20:0	Cyc-C21:0	Cyc-C23:0	Cyc-C24:0	OH-Br-C11:0	OH-Br-C12:0	OH-Br-C13:0	OH-Br-C14:0	OH-Br-C15:0	OH-Br-C15:1	OH-Br-C16:0	OH-Br-C17:0	OH-Br-C18:0	OH-C10:0	OH-C11:0	OH-C12:0	OH-C12:1	OH-C13:0	OH-C14:0	OH-C14:1	OH-C15:0	OH-C15:1	OH-C16:0	OH-C16:1	OH-C17:0	OH-C17:1	OH-C18:0	OH-C18:1	OH-C24:0	OH-C26:0	OH-C28:0	OH-C28:1	OH-C30:0	OH-C30:1	OH-C32:1	OH-Cyc-C19:0	Other	Oxo-C18:0	Oxo-C19:0
					Escherichia coli		562.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7	0.0	0.0	0.0	0.0	39.8	6.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.8	0.0	0.0	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
					Scenedesmus obliquus		3088.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	21.8	6.0	4.0	0.7	0.4	0.0	0.0	0.0	0.0	0.4	17.9	21.7	3.7	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
					Neochloris oleoabundans		1127754.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	19.4	1.9	1.7	1.0	7.2	0.0	0.0	0.0	0.0	1.0	20.3	13.0	17.5	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f2				End Log	Chaetoceros calcitrans	CS-178	265524.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	17.5	0.0	0.0	0.8	0.0	10.7	30.8	5.1	8.0	0.3	0.3	0.0	0.0	0.0	0.8	3.0	1.6	0.43333333333333335	0.5	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	5.9	11.1	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0
f2				End Log	Chaetoceros gracilis	CS-176	184592.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	8.8	0.0	0.0	1.0	0.0	23.3	34.7	4.6	2.3	0.0	0.3	0.0	0.0	0.0	4.1	5.3	2.5	0.8	0.2	0.0	0.0	0.0	0.3	0.0	0.0	0.0	4.533333333333333	4.6	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0
f2				End Log	Chaetoceros gracilis	CS-176	184592.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	11.6	0.0	0.0	1.2	0.0	17.8	28.6	3.0999999999999996	2.2	0.03333333333333333	0.2	0.0	0.0	0.0	3.1	9.9	4.9	1.1	1.2	0.0	0.0	0.0	0.2	0.03333333333333333	0.0	0.0	6.233333333333333	5.7	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0
f2				End Log	Skeletonema costatum	CS-181	2843.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	20.1	0.0	0.0	1.2	0.0	16.5	30.500000000000004	6.8	3.7	2.6	0.6	0.0	0.0	0.0	0.8	1.5	2.2	0.6	2.2	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.03333333333333333	6.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0
G2				End Log	Thalassiosira pseudonana	CS-173	35128.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	14.3	0.0	0.0	0.8	0.0	11.2	18.7	7.2	12.7	2.3	0.1	0.0	0.0	0.0	0.7	0.6	0.43333333333333335	0.30000000000000004	5.3	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.6	19.3	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0
f2				End Log	Isochrysis	CS-177	37098.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.5	0.0	14.5	4.5	1.2	1.4	0.0	0.03333333333333333	0.0	0.0	0.0	0.2	21.400000000000002	2.5	6.0	17.4	2.5	0.0	0.0	0.3	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.6	0.0	0.0	0.0	0.0	1.8	8.3	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0
f2				End Log	Pavlova lutheri	CS-182	2832.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	11.5	0.0	0.0	0.5	0.0	21.3	16.833333333333336	0.4	0.4	0.0	0.2	0.0	0.0	0.0	1.3	3.4	1.9	2.2	6.0	0.0	0.0	0.0	0.3	0.2	0.0	0.0	0.03333333333333333	19.7	0.0	0.0	0.3	0.0	0.0	0.0	0.0	2.0	9.4	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0
