Tax ID	Species	Strain	Original Ref	Temp	C14:0	C16:0	C16:1ω7c	C16:1ω13t	C16:2	C18:0	C18:1ω9c	C18:2ω6,9c	C18:3ω6,9,12c	C18:3ω3,6,9c	C18:4ω3	C20:1	C20:4ω3	C20:5ω3	C22:4ω6	C22:5ω3	C22:6ω3	Other
3030	Cryptomonas	WH1		15	6.0	4	2.0	3.0	2.0		5			7	44.0			16.0			10.0	1
3028	Chroomonas			15	2.0	16	2.0		1.0	1.0	5	3.0	1.0	23	23.0			14.0	1.0		6.0	2
77927	Hemiselmis virescens			15	8.0	23	5.0	2.0			7	3.0		22	16.0			7.0	2.0		2.0	3
354590	Rhodomonas lens			25	18.0	13	5.0	1.0		1.0	10	2.0		16	13.0			13.0	1.0		5.0	2
70450	Cryptomonas ovata			15	1.0	10	4.0	1.0	2.0		2		5.0	17	34.0			12.0	2.0		7.0	3
2898	Chilomonas paramecium			25	18.0	18				1.0	9	12.0		27				6.0			3.0	6
	"Unknown cryptomonad"		Ackman et al 1968	21	1.0	15	1.0			1.0	3	11.0		23	16.0	1.0		14.0	1.0		1.0	11
77926	Hemiselmis rufescens		Chuecas and Riley 1969	20		21	10.0		4.0		2	1.0	2.0	7	17.0	14.0	3.0	8.0	1.0	3.0		6
77925	Hemiselmis brunnescens		Chuecas and Riley 1969	20	1.0	13	3.0		3.0		2			8	31.0	18.0		14.0		1.0		5
254934	Cryptomonas appendiculata		Chuecas and Riley 1969	20	2.0	16	12.0		3.0		3	4.0		12	13.0	10.0	6.0	10.0		3.0		6
195069	Cryptomonas maculata		Chuecas and Riley 1969	20	5.0	15	7.0		4.0		4			6	16.0	17.0	1.0	17.0		3.0		4
70450	Cryptomonas ovata	var palustris	Collins and Kalnins 1969	20	5.0	10	9.0		1.0	8.0	16	26.0		5								20
