Ref Loc	Species	Strain	Temp	Medium	I-C13:0	I-C14:0	C15:0	C15:1ω6c	3OH-C15:0	I-C15:0	A-C15:0	I-C15:1	3OH-I-C15:0	C16:0	Other|MIDI4|2OH-I-C15:0&C16:1ω7	3OH-C16:0	I-C16:0	3OH-I-C16:0	I-C16:1	C17:1ω6c	I-C17:1ω9c	3OH-I-C17:0
Table 4	Flavobacterium aquatile		25	Modified Shieh agar		1.1	12.7	9.1	1.5	21.5	1.6	9	6.6	<0.1	4	<0.1	2.4	5.1	2.2	4.1	4.8	7.4
Table 4	Flavobacterium branchiophilum		25	Modified Shieh agar	1.2	<0.1	11	7.6	1.8	22.2	2.5	10.9	14.3	1.1	4.5	2.3		1.7	<0.1	5.1	<0.1	5.7
Table 4	Flexibacter columnaris		25	Modified Shieh agar	1.8	<0.1	4.4		<0.1	39	1.4	13.1	8.7	<0.1	<0.1	<0.1	2	2.6	<0.1		7.5	12.1
Table 4	Cytophaga flevensis		25	Modified Shieh agar		2.2	7.6	8.6	1.6	14.5	10.4	5.7	4.9	1.4	18.4	4.1	1.4	3.8		2.7	<0.1	3.9
Table 4	Cytophaga aquatilis		25	Modified Shieh agar		1.2	9.6	5	2	17.6	<0.1	3.8	8.9	1.3	13.4	4.5	2	6.8	1.4	4.1	2.5	8.3
Table 4	Cytophaga johnsonae	DSM 2064	25	Modified Shieh agar	<0.1	1.5	6.1	1.3	1.2	24.9	3.4	4.9	6.6	2.7	12.8	4.7	3.4	4.4		2.2	2.4	9.4
Table 4	Cytophaga johnsonae		25	Modified Shieh agar		1.3	4.5	3.1	1.6	20.1	3.8	5.2	8.8	1.6	18.2	3.7	1.3	4.7	<0.1	2.8	2.7	9.6
Table 4	Cytophaga pectinovora		25	Modified Shieh agar		1.2	6.7	6.4	2.1	24.1	2	8	7.9	<0.1	5.3	<0.1	1.5	4.7	<0.1	5.2	5.1	12.1
Table 4	Flexibacter psychrophilus		19	Modified Shieh agar	1.3	2	6	5.6	<0.1	19.7	3.7	11.7	8.5	<0.1	2.3		2.5	3.3	4.2	2.2	12.2	9
Table 4	Cytophaga saccharophila		25	Modified Shieh agar		1.2	8.5	7.3	2.5	9.5	1.3	6.9	5.9	<0.1	12.3	1.4	3.7	5.3	2	7.6	5.6	9.6
Table 4	Cytophaga succinicans		25	Modified Shieh agar	<0.1	1.6	11.8	10.7	3.3	16.8	1.1	9.2	8.6	<0.1	7.5	2.2	1.3	4.5	1.8	4	2.4	5.8
Table 4	Cytophaga succinicans	NCIMB 2278	25	Modified Shieh agar		<0.1	7.6	6.9	<0.1	30	1	9	10.7	<0.1	5.8	1.7	1.9	3.3	1.7	3.1	3.3	7.8
Table 4	Cytophaga allerginae		25	Modified Shieh agar			7.9	2	1.4	27.3	1.2	3.6	6.7	3	14.5	4.5	1.5	3.2		2.2	3.1	8.7
Table 4	Cytophaga xantha		25	Modified Shieh agar		3.3	10.9	11.6	1.9	9	3.9	3.9	5.2	1	5	1.4	4.1	9.6	2.6	12.5	2.1	6.2
Table 4	Flexibacter aurantiacus		25	Modified Shieh agar	<0.1	<0.1	6.5	2.4	1.6	29	1.3	6.9	9.2	1.4	10.1	3.4	1	2.8	<0.1	2.2	3.8	11.5
Table 4	Flexibacter aurantiacus subsp. excathedrus		25	Modified Shieh agar	<0.1	<0.1	6.4		2.2	25.6	<0.1	17.1	7.5		5.4	<0.1	1.9	4.3		<0.1	7.4	12.6
Table 4	Promyxobacterium flavum		25	Modified Shieh agar		1.2	6.9	4.5	1.5	28	1.7	7.3	8.7	<0.1	6.6	<0.1	2.3	3.1	1.1	3.5	3.7	13.6
Table 4	Sporocytophaga caulifomis	LMG 8262	25	Modified Shieh agar		2.6	7.8	5.2	1.8	17	1.5	6.1	7.9	1.1	11.8	3.2	4.7	8.2	2.1	3.2	2.5	7.9
Table 4	Sporocytophaga caulifomis	LMG 8363	25	Modified Shieh agar		<0.1	8.3	3.3	2.1	30	<0.1	4.2	8.7	1.4	12.4	5.1	1.2	4.1		2.1	2.3	7.7
Table 4	Flavobacterium odoraturn		25	Modified Shieh agar			<0.1			53.5	1.8		5.7	<0.1	1.6	3.5	1.4	<0.1			13.5	12.8
Table 4	Flavobacterium odoraturn	LMG 4029	25	Modified Shieh agar	3.3	2.7	3.9	<0.1	1.2	39	1.3		4	<0.1	8.3	5.4	4.4	2.1	1.9	<0.1	8.3	8.6
