Tax ID	Species	Strain	C14:0	C14:1	C15:0	C15:1	I-C16:0	C16:0	C16:1	A-C17:0	C17:0	C17:1	C18:0	C18:1	C19:1	C20:1
1231	Nitrosolobus multiformis	57	0.3	0.7	<0.1	<0.1		25	74							
1231	Nitrosolobus multiformis	22	<0.1	<0.1				25	75							
1231	Nitrosolobus multiformis	71			<0.1			18	81				<0.1	<0.1		
915	Nitrosomonas europaea	51	<0.1	<0.1	<0.1	0.7		25	75							
915	Nitrosomonas europaea	31		1.6				17	82							
	Nitrosomonas	49	<0.1	<0.1	<0.1	<0.1		25	75							
	"Unidentified"	91		1.3				23	76							
	"Unidentified"	101		1.5				25	74							
1229	Nitrosocystis oceanus	107	0.2	<0.1	0.3	0.1	31	66						2.6		
1229	Nitrosocystis oceanus	27	0.7	0.6	0.6	<0.1		33	65							
1229	Nitrosocystis oceanus	29	0.3	0.9	0.3			39	59							
	Nitrosomonas	19	0.2	0.2	0.2	0.2		30	66		<0.1	0.1	0.3	1.1		2.1
	Nitrosomonas	15						26	74							
	Nitrosomonas	40	0.3	0.2	0.2	0.3		27	72							
	Nitrosomonas	25	<0.1	<0.1	<0.1	<0.1		39	61							
913	Nitrobacter agilis	213	<0.1	<0.1	<0.1			5.4	1.4		0.3	0.9	0.7	63	28	
913	Nitrobacter agilis	106; ATCC 14123	0.3	0.2	0.2	<0.1	<0.1	7.3	1.1	<0.1	0.2	0.7	1	54	35	
35797	Nitrococcus mobilis	231	0.3	0.4	<0.1			20	43		0.4	2.1	0.8	34	<0.1	
35801	Nitrospina gracilis	211	13	16	<0.1	<0.1	1.39	12	48					8.5		
