Tax ID	Species	Strain	Temp	Notes	C14:0	I-C15:0	C15:0	C16:0	C16:1ω9t	C16:1ω5t	C16:1ω7c	C16:1ω6c	A-C17:0	I-C17:1ω7c	C17:0	Cyc-C17:0	C17:1ω6c	C18:0	C18:1ω9t	C18:1ω9c	C18:1ω8c	C18:1ω7c	C18:1ω6c	C18:1ω5c	C18:2ω7c,12c	C18:2ω6c,12c
193095	Methylocystis	IMET 10484	25	Grown on methane	0.12	0.27	0.11	2.66			12.43	0.15				0.22		0.15	0.71		33.06	45.1			4.46	
193095	Methylocystis	IMET 10484	25	Grown on methanol	0.29	0.29	0.11	4.57			14.36	0.12				0.21		0.16	0.72		43.25	31.67			3.69	
193100	Methylocystis	Pi5	25	Grown on methane				0.48			0.63							0.48	1.11		72.25	13.1		0.24	10.44	
193100	Methylocystis	Pi5	25	Grown on methanol	0.18			1.12		0.18	0.67				0.13			0.76	1.22		69.5	16.67		0.23	8.78	
193093	Methylocystis	62/12	25	Grown on methane				0.49			0.73	0.21						0.25	1.45		85.73	10.79				
193093	Methylocystis	62/12	25	Grown on methanol	0.51	0.26	0.27	3.1	0.12	0.61	0.68	0.32	0.14		0.31	0.13		1.57	1.98		81.31	8.04			0.5	
187303	Methylocystis	SC2	25	Grown on methane				0.3			0.66	0.12							0.91	1.88	84.65	10.87				
187303	Methylocystis	SC2	25	Grown on methanol			0.25	1.08		0.55	1.13	0.15	0.52	0.47	0.12			3.68	2.83	1.45	66.08	16.91		0.18		
193112	Methylocystis	F10V2a	25	Grown on methane	0.12	0.27	0.1	2.66			12.43	0.14				0.23		0.15	0.71		33.06	45.1			4.46	
193112	Methylocystis	F10V2a	25	Grown on methanol	0.29	0.29	0.11	4.57			14.35	0.12				0.21		0.16	0.72		43.25	31.67			3.69	
428	Methylosinus sporium	KS17	25	Grown on methane	0.11	0.4		1.23			16.1	1.33	0.11	0.43	0.27	1.28	0.27	1.37	0.26	0.18		65.67			10.54	
428	Methylosinus sporium	KS17	25	Grown on methanol	0.24	0.45		2.21	0.42	0.14	24.37	0.18		0.51	0.19	0.41		1.3	1.42	0.24		58.49	0.23		8.74	0.17
426	Methylosinus trichosporium	SM6	25	Grown on methane	0.14	0.23		1.02	0.36		12.97				0.16	0.65		0.69	2.36		60.33	20.88				
426	Methylosinus trichosporium	SM6	25	Grown on methanol	0.17	0.12		4.95	0.13		20.53				0.17	0.21		0.5	1.94		55.34	15.71				
