Tax ID	Species	Strain	Temp	I-C14:0	C14:1ω7c	C14:0	I-C15:0	A-C15:0	C15:0	I-C16:0	C16:1ω9c	C16:1ω8c	C16:1ω7c	C16:1ω6c	C16:1ω5c	C16:1ω5t	C16:0	I-C17:1ω7c	I-C17:0	C17:1ω7c	C17:1ω7t	Cyc-C17:0	C17:0	C18:2	C18:1ω9c	C18:1ω7c	C18:1ω5c	C18:0	Br-C19:0	Cyc-C19:0
421	Methylomonas methanica	UQM 3307	28			19.9						41.3	9.8	5.0	1.9	14.7	5.0			0.7	0.3					1.0		0.1		0.2
39772	Methylomonas fodinarum	UQM 3268	28	0.1	0.2	25.1	2.5	2.4	1.2	0.2	<0.1	25.7	7.7	8.5	6.3	7.9	6.5	0.1	0.1			2.1			0.2	2.5	0.2		0.5	0.2
39771	Methylomonas aurantiaca	UQM 3406	28		0.1	18.9	1.3	0.7	0.4	0.1		30.0	14.0	4.5	2.9	15.3	8.7	<0.1				1.0				1.6		0.1		0.4
39774	Methylomonas agile	UQM 3308	28			1.8			7.3			14.3	14.1	14.4	7.4	28.2	12.5													
73779	Methylomonas gracilis	UQM 3315	45			1.6	0.7		0.4				45.9				43.4			1.1						3.4		0.7		2.9
415	Methylococcus luteus	UQM 3304	28			7.4	0.4						57.4	4.9	7.8	10.6	8.4									3.1				
39770	Methylococcus whittenburyi	UQM 3310	28			9.7			4.2				56.8	4.4	5.5	10.8	8.2									0.5				
414	Methylococcus capsulatus	ATCC 33009	28			5.5							31.2	10.4	8.3	0.1	40.9									3.6				
39769	Methylococcus	JB140	45			1.1			0.5			6.8	10.4	10.4	4.7	8.7	22.5			1.8						15.2		1.6		16.3
	"Methylomonas-like"	JB173	45			1.8	5.0	1.0	0.5	0.6	0.1		26.3	1.0	1.0		22.9					5.9	0.2	3.2	11.2	9.1		2.7		7.6
