Ref Loc	Species	Strain	Temp	C12:0	I-C13:0	A-C13:0	I-C14:0	C14:0	3OH-C14:0	I-C15:0	A-C15:0	I-C16:0	C16:1	C16:0	3OH-C15:0	I-C17:0	A-C17:0	3OH-C16:0	C18:1	C18:0	3OH-I-C17:0
Table 2	Prevotella buccae	ES9-1	37	0.0	0.7	0.4	2.4	0.9	0.0	6.5	51.9	2.7	0.0	8.7	2.1	6.8	4.5	3.3	0.0	0.0	9.1
Table 2	Prevotella buccae	ES12-B	37	0.0	0.1	0.1	2.5	1.2	0.0	5.9	50.9	2.6	0.0	12.4	2.4	5.6	4.5	3.4	0.0	0.0	8.3
Table 2	Prevotella buccae	ES17-1	37	0.0	1.2	0.8	2.2	2.5	0.0	5.7	50.1	1.7	0.0	9.7	2.0	5.7	4.0	5.7	0.0	0.0	8.9
Table 2	Prevotella buccae	ATCC 33574	37	0.0	0.7	0.4	2.4	1.5	0.0	6.0	51.0	2.3	0.0	12.2	2.2	5.4	4.0	4.1	0.0	0.0	7.8
Table 2	Prevotella oris	ES14B-3A	37	0.0	2.1	0.4	4.7	3.3	0.0	20.0	32.7	0.7	0.0	15.6	0.7	2.8	0.05	7.8	0.0	0.0	9.2
Table 2	Prevotella oris	ES9-3	37	0.0	1.2	0.4	4.1	3.4	0.0	20.7	44.2	3.1	0.0	10.6	0.8	4.4	0.0	3.5	0.0	0.0	6.6
Table 2	Prevotella oris	ATCC 33573	37	0.0	1.8	0.6	4.5	3.2	0.0	22.4	37.6	1.9	0.0	12.4	0.5	4.1	0.0	3.9	0.0	0.0	7.1
Table 2	Prevotella oris	RPG	37	0.0	2.1	0.9	4.7	2.9	0.0	26.6	35.9	2.0	0.0	11.0	0.0	5.1	0.0	3.3	0.0	0.0	5.6
Table 2	Prevotella oralis	ES4-B	37	0.0	0.2	0.0	3.9	2.2	0.0	11.2	40.2	3.2	0.0	22.6	2.0	2.3	1.4	4.8	0.0	0.0	5.9
Table 2	Prevotella oralis	ES14B-3A	37	0.0	0.0	0.0	4.7	2.6	0.0	11.3	35.6	3.0	0.0	20.4	2.7	8.7	3.3	3.7	0.0	0.0	4.0
Table 2	Prevotella oralis	ES15-2	37	0.0	0.0	0.0	3.5	2.2	0.0	7.9	46.4	3.6	0.0	19.4	2.1	2.6	3.1	3.5	0.0	0.0	5.7
Table 2	Prevotella disiens	DSM 20516	37	0.0	5.8	2.2	6.8	6.7	0.0	16.0	34.0	4.2	0.0	4.4	1.3	2.6	2.8	3.2	0.0	0.0	10.0
Table 2	Prevotella veroralis	ATCC 33779	37	0.0	5.7	1.7	7.9	9.7	0.0	26.5	35.2	2.6	0.0	6.6	0.0	0.0	0.0	2.7	0.0	0.0	1.7
Table 2	Prevotella heparinolyticus	ATCC 35895	37	0.0	1.7	0.5	0.0	2.4	0.0	40.1	21.9	0.0	0.0	4.0	2.9	5.6	0.0	4.1	0.0	0.0	17.1
Table 2	Bacteroides fragilis	ATCC 25285	37	0.0	0.0	0.0	0.0	0.2	0.0	14.6	32.7	0.0	0.0	5.8	0.0	0.0	0.0	8.2	0.0	0.0	38.0
Table 2	Porphyromonas endodontalis	HG 412	37	0.0	1.8	0.0	0.0	4.0	0.0	61.1	3.2	0.0	0.0	9.8	0.6	0.0	0.0	2.6	0.0	0.0	16.9
Table 2	Porphyromonas endodontalis	HG 370 (ATCC 35406)	37	0.0	1.8	0.0	0.0	3.6	0.0	60.6	4.2	0.0	0.0	7.5	0.6	0.0	0.0	0.6	0.0	0.0	21.1
Table 2	Porphyromonas endodontalis	HG 182 (BN 11a-f)	37	0.0	4.8	0.0	0.0	4.8	0.0	68.5	4.4	0.0	0.0	6.6	0.0	0.0	0.0	0.1	0.0	0.0	10.8
Table 2	Porphyromonas endodontalis	HG 181 (H 11a-e)	37	0.0	1.8	0.0	0.0	3.5	0.0	67.0	4.4	0.0	0.0	8.4	1.2	0.0	0.0	0.1	0.0	0.0	13.8
Table 2	Bacteroides gracilis	CCUG 13143 (ATCC 33236)	37	22.2	0.0	0.0	0.0	28.0	15.2	0.0	0.0	0.0	6.5	14.5	0.0	0.0	0.0	4.8	8.7	0.1	0.0
Table 2	Campylobacter fetus subsp venerealis	CCUG 538 (ATCC 19438)	37	0.6	0.0	0.0	0.0	17.1	8.4	0.0	0.0	0.0	23.1	36.5	0.0	0.0	0.0	3.0	11.2	0.1	0.0
Table 2	Bacteroides ureolyticus	CCUG 7319 (ATCC 33387)	37	5.0	0.0	0.0	0.0	5.3	13.4	0.0	0.0	0.0	1.6	7.4	0.0	0.0	0.0	12.1	52.8	2.4	0.0
Table 2	Wollinella succinogenes	CCUG 12550 (ATICC 29543)	37	3.5	0.0	0.0	0.0	5.9	8.5	0.0	0.0	0.0	29.6	24.1	0.0	0.0	0.0	2.9	25.4	0.1	0.0
Table 2	Wollinella curva	CCUG 13146 (ATCC 35224)	37	3.6	0.0	0.0	0.0	15.3	6.3	0.0	0.0	0.0	9.9	31.9	0.0	0.0	0.0	1.9	31.0	0.1	0.0
Table 2	Wollinella recta	FDC 371 (ATCC 33238)	37	16.9	0.0	0.0	0.0	9.9	7.3	0.0	0.0	0.0	9.1	35.6	0.0	0.0	0.0	1.5	19.6	0.1	0.0
