Ref Loc	Species	Strain	Temp	Medium	C14:0	C15:0	C16:1	C16:0	C17:0	C18:1	C18:0	C19:0	C20:0	2OH-C12:0	2OH-C14:0	3OH-C14:0	2OH-C16:0	Cyc-C17:0	Cyc-C19:0
Table 2	Achromobacter	C349	37	Trypticase soy agar			<2	9	3	31	12	<2	<2					<2	45
Table 2	Achromobacter	C7259	37	Trypticase soy agar			2	9	6	32	16	2	<2					3	31
Table 2	Achromobacter	A9112	37	Trypticase soy agar			8	18	3	32	12	<2	<2					<2	27
Table 2	Achromobacter	C675	37	Trypticase soy agar			4	12	<2	32	16	<2	<2					<2	36
Table 2	Achromobacter	D8708	37	Trypticase soy agar			5	16	3	32	14	<2	<2					<2	30
Table 2	Achromobacter	D9035	37	Trypticase soy agar			2	12	4	33	14	<2	<2					2	33
Table 2	Achromobacter	D9053	37	Trypticase soy agar			3	13	7	29	13	<2	<2					<2	35
Table 2	Achromobacter xylosoxidans	KC1064; ATCC 27061	37	Trypticase soy agar	<2	<2	8	33	<2	3	3	<2		3.0	5.0	7.0	2	33	3
Table 2	Achromobacter xylosoxidans	D7818	37	Trypticase soy agar	2	<2	6	26	<2	4	5	<2		4.0	6.0	6.0	3	33	5
Table 2	Achromobacter xylosoxidans	D9221	37	Trypticase soy agar	4	<2	11	35	<2	4	2	<2		4.0	4.0	5.0	<2	31	<2
Table 2	Achromobacter xylosoxidans	D8432	37	Trypticase soy agar	<2	2	12	21	<2	12	6	<2		5.0	7.0	6.0	2	22	5
Table 2	Achromobacter xylosoxidans	D9448	37	Trypticase soy agar	<2	<2	10	28	<2	7	6	<2		3.0	5.0	5.0	3	30	3
