Ref Loc	Species	Strain	Temp	C13:0	C14:0	C16:0	C18:0	C14:1	C16:1	C18:1	C20:5	C22:6	Br-C15:0
Table 2	Psychromonas	CNPT3	2		4.8	18.7	4.9	13.7	46.8	11.0			
Table 2		MT100	2		1.6	13.7	3.1	22.8	49.6	9.3			
Table 2	Psychromonas	HS11	2		3.8	19.7	1.2	10.1	50.8	3.7		10.5	
Table 2		MT115	2		1.0	16.3	2.7	11.4	42.6	12.7		13.4	
Table 2	Colwellia	MT41	2		4.2	23.4	4.6	10.1	35.2	6.5		15.5	
Table 2	Carnobacterium	AT7	2		23.4	10.8	2.5	15.1	21.0	7.4		19.6	
Table 2		PE36	2		20.9	9.1	1.4	10.8	29.3	3.6		24.7	
Table 2	Vibrio marinus	MP-1; ATCC 15381	2		16.4	12.9	3.0	8.2	34.7	6.9		17.9	
Table 2		SC2	2	6.1	4.8	14.3	4.6	1.9	32.3	14.1	12.3		9.5
Table 2	Shewanella	PT48	2	7.3	9.8	21.8	1.6	1.0	23.9	3.4	25.4		5.6
Table 2	Shewanella	PT99	2	1.6	6.2	11.0	2.8	1.9	26.3	7.4	36.7		6.0
