Ref Loc	Species	Strain	Temp	C14:0	C16:0	C18:0	C18:1	C18:2	Cyc-C19:0	3OH-C16:0
Table	Campylobacter pyloridis	Q1	37	45	2	4	11	2	30	3
Table	Campylobacter pyloridis	Q2	37	40	3	9	17	2	25	5
Table	Campylobacter pyloridis	Q3; NCTC 11638	37	41	3	6	14	3	28	4
Table	Campylobacter pyloridis	Q4; NCTC 11637	37	36	3	6	8	5	35	2
Table	Campylobacter pyloridis	Q5	37	31	4	9	20	3	28	4
Table	Campylobacter pyloridis	Q6	37	32	4	9	13	7	28	4
Table	Campylobacter pyloridis	Q11	37	31	3	10	20	4	29	3
Table	Campylobacter pyloridis	Q13	37	30	5	10	14	6	30	5
Table	Campylobacter pyloridis	Q14	37	33	3	10	19	3	24	5
Table	Campylobacter pyloridis	Ql5	37	30	3	13	14	2	28	5
Table	Campylobacter pyloridis	Q21	37	42	4	8	7	3	28	4
Table	Campylobacter pyloridis	J14	37	34	3	10	12	3	30	5
Table	Campylobacter pyloridis	L25	37	33	5	11	14	6	21	6
Table	Campylobacter pyloridis	L26	37	33	7	10	8	4	29	3
