Tax ID	Species	Strain	Temp	Phase	C14:0	C16:0	C18:0	C16:1ω7c	C16:1ω9c	C18:2ω6,9c	C18:3ω3,6,9c	A-C14:0	A-C16:0	10Me-C16:0	3OH-I-C16:0	10Me-C17:0
88823	Aphanizomenon	202	20	Exponential	2	25.2	<1	4.6	9.5	8.0	28.2	4.3	3.2	4.3	<1	3.9
88823	Aphanizomenon	202	20	Lag	2.5	36.3	<1	5.7	5.7	4.9	19.0	5.3	1.2	3.3	2.1	5.8
88823	Aphanizomenon	202	20	Exponential	2.5	29.4	2.7	5.1	7.8	5.8	24.7	6.8	2.4	1.0	1.3	1.5
88824	Aphanizomenon	PCC 7905	20	Exponential	<1	23.9	<1	3.0	10.5	5.8	32.7	3.6	2.6	3.2	<1	3.6
88824	Aphanizomenon	PCC 7905	20	Lag	<1	22.6	2.1		14.8	3.6	38.8	4.3	1.8	1.8	1.2	3.3
88824	Aphanizomenon	PCC 7905	20	Exponential	<1	23.3	2.5		14.0	3.3	36.9	5.7	1.8	1.18	1.5	3.4
285684	Aphanizomenon gracile	219	20	Exponential	<1	27.8	<1	3.2	8.2	10.6	30.1	3.0	2.7	2.8	1	3.8
136082	Aphanizomenon cf gracile	271	20	Exponential	<1	29.0	<1	4.7	6.7	11.7	28.5	3.2	3.0	1.8	1.2	3.9
88825	Aphanizomenon	TR183	20		<1	27.9	<1	3.8	9.1	8.1	32.0	3.4	2.9	2.8	1.2	3.1
88825	Aphanizomenon	TR183	20		<1	28.3	<1	2.7	9.1	4.7	34.5	4.5	1.9	1.1	1.2	3.4
88825	Aphanizomenon	TR183	20		<1	25.8	1		13.0	4.3	38.8	5.0	2.0	1.5	<1	2.5
88825	Aphanizomenon	TR183	20		<1	24.9	<1		13.2	4.8	37.8	4.6	2.2	2.9	<1	2.5
88825	Aphanizomenon	TR183	20		<1	27.3	1.8	2.6	8.7	4.4	33.7	7.3	1.9		1.3	2.2
88825	Aphanizomenon	TR183	20		<1	27.6	<1	2.7	9.4	5.1	35.8	3.9	2.1	2.0	1	2.9
