Ref Loc	Species	Strain	Temp	Medium	Phase	N	C12:0	C14:0	C16:0	C14:1ω5c	C14:1ω5t	C16:1ω7c	C16:1ω7t	C18:1ω9c	C18:2ω6,9c	C18:3ω3,6,9c	C20:5ω3	C22:6ω3	Cyc-C17:0
Table 2	Vibrio	2311	10	Modified LB	Mid Exponential	3	0.6	11.6	10.0	0.6	6.2	32.9	9.1	1.3		2.4		17.4	2.9
Table 2	Vibrio	2312	10	Modified LB	Mid Exponential	3	0.6	12.8	7.2	0.8	6.0	36.5	7.4	0.3		1.8		15.8	3.2
Table 2	Vibrio	2313	10	Modified LB	Mid Exponential	3	1.5	15.1	16.4	<0.5	4.2	40.1	6.9	1.8				11.8	2.3
Table 2	Vibrio	3021	10	Modified LB	Mid Exponential	3	1.5	15.9	13.4	4.7	6.0	35.3	11.9	1.6		0.7		10.3	2.8
Table 2	Vibrio	5401	10	Modified LB	Mid Exponential	3	4.1	15.0	5.0	1	13.1	33.9	7.1	0.6		1.5		8.1	3.0
Table 2	Vibrio	5403	10	Modified LB	Mid Exponential	3	3.3	13.8	6.6	1.4	8.6	38.6	9.9	1.5		1.5		9.8	3.6
Table 2	Vibrio	5501	10	Modified LB	Mid Exponential	3	0.4	7.5	10.3	0.5	3.4	36.6	6.1	4.4		1.6		17.0	3.8
Table 2	Vibrio	5601	10	Modified LB	Mid Exponential	3	0.3	8.8	11.3	0.6	3.7	39.3	6.8	2.1		2.0		16.6	2.6
Table 2	Vibrio	5605	10	Modified LB	Mid Exponential	3	1.9	16.3	5.5	2.1	13.5	37.2	5.7	1		2.1		7.4	3.1
Table 2	Vibrio	5703	10	Modified LB	Mid Exponential	3	0.6	21.8	4.9	1.1	16.6	26.9	4.1	<0.5		1.5		18.6	2.3
Table 2	Vibrio	5705	10	Modified LB	Mid Exponential	3	1.1	6.0	12.5	0.6	3.4	35.5	4.8	5		1.2		21.5	2.9
Table 2	Vibrio	29-1	10	Modified LB	Mid Exponential	3	4.6	7.7	12.5		4.5	39.5		3.3		1.3	19.7		3.8
Table 2	Vibrio	814-4	10	Modified LB	Mid Exponential	3	4.2	5.2	12.3		2.5	37.9		5.6		1.1	17.9		3.9
Table 2	Vibrio	5709	10	Modified LB	Mid Exponential	3	4.4	11.7	12.4		9.5	32.8		2.1			14.2		4.9
Table 2	Vibrio	4-3	10	Modified LB	Mid Exponential	3	3.5	3.7	16.8		1.6	34.5		11.8		1.6	17.9		3.7
Table 2	Vibrio	5402	10	Modified LB	Mid Exponential	3	2.7	4.5	18.1		1.9	39.0		8.7		1.1	17.7		2.3
Table 2	Vibrio	5602	10	Modified LB	Mid Exponential	3	10.2	11.2	19.5		5.4	38.1		4.1	3.2	2.6			3.0
Table 2	Vibrio	5502	10	Modified LB	Mid Exponential	3	5.7	9.9	24.8		1.2	40.2		10.2		1.9			4.2
Table 2	Vibrio	6001	10	Modified LB	Mid Exponential	3	4.0	1.6	9.5		3.1	53.4		23.1		0.9			0.8
Table 2	Vibrio	6102	10	Modified LB	Mid Exponential	3		2.9	11.2			24.1	3.6	49					1.2
Table 2	Vibrio	6301	10	Modified LB	Mid Exponential	3	4.7	1.8	9.3		3.5	53.0		23.1					0.9
