Tax ID	Species	Strain	Original Ref	C14:0	C16:0	C16:1	C18:0	C18:1
1063	Rhodobacter sphaeroides	2	Wood et al 1965		1.7	1.0	4.8	90.8
1063	Rhodobacter sphaeroides	GA	Marinetrri and Cattieu 1981	<0.1	5.5	1.6	12.0	80.0
1063	Rhodobacter sphaeroides	17023	Urakami and Komagata 1988		7.8	1.5	10.7	75.9
1061	Rhodobacter capsulatus	2,3,11	Wood et al 1965		2.3	2.4	4.2	90.3
1061	Rhodobacter capsulatus	3764	Schroder et al 1969	<0.1	1.9	2.6	1.3	93.6
1061	Rhodobacter capsulatus	NCIB 8254	Urakami and Komagata 1988		13.8	15.0	4.0	63.5
33049	Rhodobacter veldkampii		Imhoff 1991	0.1	4.3	17.5	6.5	69.4
35806	Rhodobacter sulfidophilus	DSM 1374	Urakami and Komagata 1988		16.0	0.4	2.4	72.1
35806	Rhodobacter sulfidophilus	DSM 2351	Urakami and Komagata 1988		17.8	3.0	4.0	72.2
35805	Rhodobacter euryhalinus		Imhoff 1991	0.1	4.9	2.5	21.8	67.5
