Ref Loc	Species	Strain	Temp	Medium	C14:0	C16:0	C18:0	C14:1	C16:1	C18:1	C18:2
Table 3	Coccochloris peniocystis	6307	30	BG11	17	22	1	1	50	4	1
Table 3	Synechococcus	6603	25	BG11	23	23	1	2	46	2	
Table 3	Synechococcus	6706	25	BG11	15	28	4	1	37	11	
Table 3	Synechococcus	6707	25	BG11	18	30	1	1	37	6	
Table 3	Synechococcus	6708	25	BG11	14	29	2	2	40	6	
Table 3	Synechococcus	6709	25	BG11	15	22	2	1	48	9	
Table 3	Synechococcus lividus	6715	48	Van Baalen	<1	31	2	<1	29	27	1
Table 3	Synechococcus	6716; Cl53	48	Kratz and Meyers	<1	29	1	<1	37	27	1
Table 3	Synechococcus	6717; Y52	48	Van Baalen	<1	26	2	<1	30	35	<1
Table 3	Anacystis nidulans	6301	30	Van Baalen	1	32	1	6	46	4	2
Table 3	Synechococcus	6311	25	BG11	2	35	2	1	47	8	
Table 3	Synechococcus	6312	30	BG11	1	29	1	1	61	4	
