Ref Loc	Species	Strain	Temp	Medium	C14:0	C16:0	C18:0	C14:1	C16:1	C18:1	C18:2	C18:3ω3,6,9c	C18:3ω6,9,12c
Table 6	Microcystis aeruginosa	7005	30	BG11	1	40	2	<1	3	6	15		27.0
Table 6	Aphanocapsa	6702	30	BG11	1	30	2		13	6	21		25.0
Table 6	Aphanocapsa	6714	30	Van Baalen	<1	28	1	1	4	5	17		31.0
Table 6	Aphanocapsa	6803	30	BG11	<1	32	2	1	9	5	18	1.0	21.0
Table 6	Aphanocapsa	6805	30	BG11	2	35	3	1	10	4	21	2.0	18.0
Table 6	Aphanocapsa	6806	30	BG11	1	35	1	1	9	5	17	2.0	19.0
Table 6	Gloecapsa alpicola	6308; 1051	30	BG11	27	6	4	11	34	3	4		
Table 6	Aphanocapsa	6701	30	BG11	34	7	2	8	35	3	1		
Table 6	Aphanocapsa	6711	30	BG11	29	7	1	13	39	1	1		
Table 6	Aphanocapsa	6807	30	BG11	34	5	2	9	36	2	2		
Table 6	Aphanocapsa	6808	30	BG11	18	9	2	9	50	2	3		
Table 6	Aphanocapsa	6804	30	BG11	26	10	2	5	35	3	3		
Table 6	Gloeocapsa	6501	25	BG11	11	19	3	3	46	4	3		
Table 6	Chlorogloea fritschii	6712	30	BG11	26	9	7	3	27	3	2		
