Tax ID	Species	Strain	C14:0	I-C15:0	A-C15:0	I-C16:1ω6	I-C16:0	C16:1ω7c	C16:0	I-C17:1ω7	10Me-C16:0	A-C17:1ω7	I-C17:0	A-C17:0	C17:1ω6	Cyc-C17:0	C17:0	C18:1ω9c	C18:1ω7c	C18:0	Cyc-C19:0	C20:1ω9c
873	Desulfovibrio africanus	ATCC 19996	4.0	3.7	6.6	3.1	1.7	12.3	15.4	5.1		5.6	0.4	0.9	0.9		0.8	1.4	28.1	4.8		
899	Desulfovibrio baculatus	DSM 1743		7.9	5.0	0.7	0.4	8.6	7.6	19.3		4.0	6.9	5.3			0.4	5.5	14.2	10.6		
876	Desulfovibrio desulfuricans	DSM 642		22.0	1.0	1.0	1.0	8.0	17.0	33.0	1.0		8.0	1.0			0.1	1.0	1.0	2.0		
879	Desulfovibrio gigas	ATCC 19364	2.0	46.1														12.2	1.8	6.6		17.0
889	Desulfovibrio longus		0.2	9.2	15.7		0.8	0.9	10.4	13.6		2.3	22.9	17.5			0.6	0.7	0.8	1.5		
901	Desulfovibrio piger		0.3	31.2	1.0	0.8	1.1	3.2	13.8	22.4		0.7	24.3	0.3						0.8		
880	Desulfovibrio salexigens		0.5	22.9	3.4	0.1	0.2	5.3	19.7	24.9		2.4	11.2	1.9			0.2	0.2	4.0	1.5		
881	Desulfovibrio vulgaris		0.1	6.7	5.4	9.1	9.2	2.5	6.0	20.7		5.7	6.1	6.3	0.5		1.6	0.1	6.9	6.2		
453230	Desulfoarculus baarsii	DSM 2075	26.9	2.4	6.6		2.6	0.6	5.4									0.3	0.4	1.1		
888	Desulfobotulus sapovorans	ATCC 33892	2.4					11.8	26.5									14.2	35.5	2.3		
1565	Desulfotomaculum nigrificans	ATCC 7946	2.0	8.0	4.0		1.0	5.0	28.0	11.0	3.0	1.0	14.0	6.0			1.0	2.0	3.0	2.0		
2298	Desulfobacterium vacuolatum		6.6		0.6			42.4	23.4					0.8	5.7		3.3	0.6	4.0	0.8		
2297	Desulfobacterium niacini		2.6		0.7			25.4	29.1						11.3		7.7	1.7	2.9	1.5		
897	Desulfococcus multivorans		1.0	1.9	19.4	0.8	1.4	4.8	23.0	0.7		10.6	0.7	5.8	3.0	0.2	4.0	0.8	0.5	1.2		
894	Desulfobulbus propionicus		3.9					2.9	4.5					1.4	42.0		1.0		14.5	0.6		
2300	Desulfosarcina variabilis		1.6	1.3	34.1	0.6	0.7	9.2	26.8	1.5		4.2	0.2	1.3	1.9		4.0	0.3	0.6	1.2		
891	Desulfuromonas acetoxidans		3.6	5.4	1.1			40.6	42.2	0.3			0.7	0.2			0.2	0.8	0.9	1.2		
2290	Desulfobacter curvatus	ATCC 43919	3.0	3.0				3.0	32.0		11.0					11.0	2.0	15.0	6.0	9.0		
2292	Desulfobacter latus	ATCC 43918	3.0					10.0	24.0		2.0					2.0	2.0	31.0	12.0	10.0	1.0	
	Desulfobacter	AcBa	31.4	1.6			0.4	5.9	18.6	0.1	9.4					27.3			0.1	0.1	0.2	
2293	Desulfobacter postgatei	2ac9; DSM 2034	9.5	1.1			0.1	4.9	30.7	0.1	16.5		0.2	0.2		27.0		0.2	0.6	0.3	1.1	
449305	Desulfobacter	4Ac11; DSM 2057	11.3	2.1			0.2	1.1	32.7	0.2	11.2		0.2			32.7		0.1	0.4	0.2	3.4	
2291	Desulfobacter hydrogenophilus			12.5			0.2	1.3	30.0	0.4	4.3		0.5			38.8		0.3	0.3	0.2	1.4	
2358	Desulfomonile tiedjei		9.1	0.3				18.6	26.7							15.5			0.8	20.8		
2358	Desulfomonile tiedjei		19.1	1.3				15.8	18.1							4.7			1.3	25.9		
2358	Desulfomonile tiedjei		10.6	1.1				20.5	26.2							7.2			1.3	23.7		
28232	Geobacter metallireducens		3.7	10.5	0.1			45.1	32.2		0.7		0.9						3.7	0.7		
28232	Geobacter metallireducens		6.0	17.9	0.1			40.7	26.3		0.7		1.0			1.0			3.3	0.5		
