Ref Loc	Species	Strain	Temp	Medium	C12:0	C14:1	C14:0	C15:0	C16:1	C16:1ω7	C16:1ω5	C16:0	C17:1	C17:0	C18:1ω9	C18:1ω7	C18:1ω6	C18:0	I-C13:1	I-C13:0	I-C14:0	I-C15:1	I-C15:0	I-C16:0	I-C17:1	I-C17:0	I-C18:0	2OH-C12:0	3OH-C12:0	3OH-C14:0	3OH-I-C15:0	Cyc-C17:0	Cyc-C19:0
Table 2	Escherichia coli	U9-41	25	Trypticase soy broth	4.0	<1	5	6		15		25		2		25		<1				1.0								6		10.0	1.0
Table 2	Escherichia coli	7458-71	25	Trypticase soy broth	4.0	<1	7	2		13		25		1		28		<1				2.0								6		11.0	1.0
Table 2	Aeromonas hydrophila	9079-79; ATCC 7966	25	Trypticase soy broth	5.0	<1	4	2		40		17	2	1		14				1.0		1.0	2	<1	2	1				4	2		
Table 2	Aeromonas hydrophila	9080-79; ATCC 9071	25	Trypticase soy broth	4.0	<1	3	1		36		13	2	1		12				2.0		1.0	3	<1	9	7				4	2		
Table 2	Aeromonas salrnonicida	9087-79; ATCC 14174	25	Trypticase soy broth	4.0	<1	2	6		43		12	10	4		10		<1				1.0								4	1		
Table 2	Aeromonas salrnonicida	9542-76; Pasteur institute strain 186-68	25	Trypticase soy broth	4.0	<1	2	4		45		17	4	2		10		<1				1.0								5	2		
Table 2	Vibrio fluvialis	9555-78; VL 5125	25	Trypticase soy broth	3.0	<1	4	1	<1	20	18	12	2	2		13	6	1	1	2.0	1			3	<1	3	1		2.0	1	<1		
Table 2	Vibrio fluvialis	9554-78; VL 2926	25	Trypticase soy broth	3.0	<1	4	2	<1	21	16	13	3	2		13	5	<1	2	2.0	1		2	4	<1	3	<1		2.0	1	<1		
Table 2	Vibrio parahuemolyticus	 9062-79; ATCC 17802	25	Trypticase soy broth	2.0	<1	4	2		25	6	12	4	5		24	4	1	1	2.0			1	<1		2			2.0	2			
Table 2	Vibrio parahaernolyticus	 1159-80	25	Trypticase soy broth	3.0	<1	4	5		33	6	10	8	3		14	2	<1	1	2.0			1	1		2			2.0	1			
Table 2	Vibrio alginolyticus	 9065-79; ATCC 17749	25	Trypticase soy broth	2.0	<1	4	2		31	7	13	6	3		17	2	<1	1	1.0	<1		1	2		2			3.0	2			
Table 2	Vibrio alginolyticus	 287-80	25	Trypticase soy broth	2.0	<1	4	3	<1	35	4	14	5	2		17	1	<1	1	1.0	<1		<1	2		2			3.0	2			
Table 2	Vibrio harveyi	 9098-79; ATCC 14126	25	Trypticase soy broth	4.0	<1	7	1	<1	33	6	15	2	2		13	2	1	2	1.0	1			2		1	<1		3.0	3			
Table 2	Vibrio harveyi	 9539-79; VL 1493	25	Trypticase soy broth	2.0	<1	4	2		28	13	15	2	3		16	4	<1	1	2.0	<1		<1	1		3	<1		2.0	1			
Table 2	Vibrio splendidus	 9106-79; ATCC 25914	25	Trypticase soy broth	5.0	<1	6	<1		42	6	22		<1		11		1	2										3.0	1	<1		
Table 2	Vibrio vulnificus	 9107-79; ATCC 27562	25	Trypticase soy broth		<1	2	<1	1	17	22	18	1	<1		14	11	1	1		<1			2			1	<1	4.0	4	1		
Table 2	Vibrio vulnificus	 9121-79	25	Trypticase soy broth		<1	2	1	1	16	21	22	1	<1	<1	13	12	1	<1					1		<1	<1	<1	3.0	4	2		
Table 2	Vibrio cholerae	 9060-79; ATCC 14035	25	Trypticase soy broth		<1	5	<1	1	36	12	16	1	<1	1	16	2	1	1		<1			2			<1	<1	4.0	1			
Table 2	Vibrio cholerae	 2507-78; V. Baselski strain 401	25	Trypticase soy broth		<1	5	<1	1	30	19	16	1	<1	<1	14	5	1	<1		<1			3			1	<1	3.0	1			
Table 2	Vibrio gazogenes	 2820-79; ATCC 29988	25	Trypticase soy broth	6.0	<1	8	<1	<1	37		22	<1	<1		13		1	2									3	6.0	2			
Table 2	Vibrio gazogenes	 1289-80	25	Trypticase soy broth	4.0	<1	6	<1	<1	41		26	<1	<1		14		1	1									1	5.0	1			
Table 2	Plesiomonas shigelloides	 9091-79; ATCC 14029	25	Trypticase soy broth	4.0	<1	3	1	2	41	<1	24	<1	1	2	12	<1	2	1										4.0	2			
Table 2	Plesiomonas shigelloides	 1261-80	25	Trypticase soy broth	3.0	<1	2	<1	2	42	1	28	<1	<1	2	9	<1	1	1										4.0	2		2.0	
Table 2	Photobacteriurn phosphoreurn	 9540-78; NCMB 844	25	Trypticase soy broth	3.0	<1	3	<1		41		23		<1	<1	11		2	2										4.0	1		10.0	
Table 2	Photobacteriurn angusturn	 9093-79; ATCC 25915	25	Trypticase soy broth	4.0	<1	2	1		46		18	<1	1		15		1	2										4.0	2		4.0	
Table 2	Vibrio metschnikovii	 9528-78; NCTC 8443	25	Trypticase soy broth	5.0	<1	6	<1	<1	36	<1	17	<1	<1	<1	26	<1	1	2										3.0	2	2		
Table 2	Vibrio metschnikovii	 9529-78; NCTC 11170	25	Trypticase soy broth	3.0	<1	4	<1	<1	39	<1	21	1	1	<1	24	<1	1	1					1			<1		2.0	1	1		
Table 2	Vibrio anguillarurn	 9063-79; ATCC 19264	25	Trypticase soy broth	4.0	<1	6	<1	<1	43	<1	21	1	<1		15		1	2		<1			3			<1		2.0	1	<1		
Table 2	Photobacteriurn leiognathi	 9094-79; ATCC 25521	25	Trypticase soy broth	5.0	<1	4	2		43		19	2	1		16		1	1										4.0	1			
