Tax ID	Species	Temp	C12:0	C12:1	C13:0	C14:0	C14:1	C15:0	C15:1	C16:0	C16:1	C16:2	C16:3	C17:0	C18:0	C18:1	C18:2	C18:3	C19:0	C20:0	C20:1	C20:2	C20:4	C20:5	C22:0	C22:1	C22:2	C22:3	C22:5	C22:6
2981	Tribonema aequale	20	<0.1	<0.1		4.7	<0.1	0.5	<0.1	7.9	9.5	<0.1	0.2	<0.1	0.4	73.1	0.6	0.2			1		0.8	2.4						
96908	Eutreptia viridis	20	1.2	<0.1		0.2	<0.1	<0.1	<0.1	33.4	3.1	0.1	0.4	<0.1		8.9	9.9	1.4			9.4	11.2	0.7	12.3			1.2			6.7
425804	Gloeodinium montanum	24	<0.1	<0.1		12.9				18.6	2.1		0.6		<0.1	14.1	0.9	0.7				4.5		12.0						33.5
143672	Gymnodinium splendens	16	<0.1	<0.1		12.0	<0.1	<0.1		32.8	0.3	<0.1	0.2		<0.1	9.2	0.7	0.6			<0.1	1.4	4.3	9.7						26.7
454282	Peridinium sociale	20	<0.1	<0.1	<0.1	9.7	0.3	0.6		36.5	0.7		3.5		<0.1	21.1	<0.1	<0.1						3.9						23.5
70450	Cryptomonas ovata	20	0.2	<0.1		0.7	<0.1	<0.1	<0.1	20.8	0.5	0.1	7.1		<0.1	23.0	5.7	<0.1			24.3	13.9		7.8						1.4
354590	Rhodomonas lens	20	0.7	0.1		7.7	0.1	0.2	0.3	7.9	4.0		0.7	0.3		19.5	5.3	3.5	<0.1		13.7	20	1.1	11.7			1.0			1.0
2853	Cylindrotheca fusiformis	20	0.5	0.4	0.4	11.0	<0.1	0.5	2.6	23.2	31.9	0.8				4.1	2.3	0.2			2.2	<0.1	5.1	10.1		<0.1	0.3	1.8		0.8
	Cricosphaera carterae	20	<0.1	<0.1		1.0	<0.1	<0.1	<0.1	20.3	27.0		1.3		<0.1	14.5	3.7	1.1		<0.1	14.5	0.7		9.4	3.3	<0.1				16.2
37099	Isochrysis galbana	20	<0.1	<0.1		19.3		0.2		11.1	1.7	0.2	0.4	<0.1		23.9	7.6	2.3			4.8	7.7	<0.1	0.4					3.1	10.5
97485	Prymnesium parvum	20	<0.1	<0.1		68.9		<0.1	<0.1	8.8	0.6	<0.1	0.2	<0.1	<0.1	10.1	0.9				1.7	2.6	0.4	0.3						1.4
2880	Ectocarpus siliculosus	20	0.6	<0.1		3.3	0.1	<0.1	<0.1	16.6	2.8		0.5	<0.1		11.1	3.5	0.8		0.5	20.8	11.5	9.4	16.0	1.1		0.9			0.2
	Streblonema cf oliosporum	20	<0.1	<0.1		4.1		1		15.0	0.7		0.6	<0.1		9.1	3.4	0.7	<0.1	0.5	12.9	26.4	8	16.1	0.8		0.1			0.2
