Tax ID	Species	Strain	Temp	Notes	C14:0	C16:0	C16:1	Cyc-C17:0	C18:1	Cyc-C19:0	3OH-C14:0
562	Escherichia coli	ML30	10	Grown on glucose minimal media	3.9	18.2	26.0	1.3	37.9		12.6
562	Escherichia coli	ML30	15	Grown on glucose minimal media	3.8	21.9	25.3	1.1	35.4		12.5
562	Escherichia coli	ML30	20	Grown on glucose minimal media	4.1	25.4	24.4	1.5	34.2		10.4
562	Escherichia coli	ML30	25	Grown on glucose minimal media	3.8	27.6	23.2	3.1	35.5		6.9
562	Escherichia coli	ML30	30	Grown on glucose minimal media	4.1	28.9	23.3	3.4	30.3		10.1
562	Escherichia coli	ML30	35	Grown on glucose minimal media	4.7	31.7	23.3	4.8	24.6		11.0
562	Escherichia coli	ML30	40	Grown on glucose minimal media	6.1	37.1	28.0	3.2	20.8		4.8
562	Escherichia coli	ML30	43	Grown on glucose minimal media	7.7	48.0	9.2	11.6	12.2	3.7	7.5
562	Escherichia coli	ML30	25	Grown on succinate minimal media	4.2	21.0	28.7	1.3	34.6		10.2
562	Escherichia coli	ML30	25	Grown on glucose minimal media	4.4	25.6	27.3	2.1	31.5		9.2
562	Escherichia coli	ML30	25	Grown on glucose minimal media with casamino acids	5.7	24.8	29.6	0.7	30.6		8.5
562	Escherichia coli	ML30	25	Grown on glucose minimal media with yeast extract	4.4	22.2	31.7	0.8	31.3		9.6
562	Escherichia coli	ML30	10	Grown on glucose minimal media with yeast extract	3.9	16.4	30.4	0.7	38.8		10.0
562	Escherichia coli	ML30	20	Grown on glucose minimal media with yeast extract	4.8	22.4	32.9	1.3	30.1		8.6
562	Escherichia coli	ML30	25	Grown on glucose minimal media with yeast extract	5.0	21.8	30.0	1.1	31.3		10.9
562	Escherichia coli	ML30	35	Grown on glucose minimal media with yeast extract	5.6	33.1	28.4	1.8	20.2		10.9
