Tax ID	Species	Strain	Temp	I-C14:0	C14:1	C14:0	A-C15:0	C15:0	I-C16:1	I-C16:0	C16:1	C16:0	A-C17:0	Cyc-C17:0	C17:0	Br-C18:0	C18:0	Br-C19:0	C19:0	Br-C20:0	C20:0
446	Legionella pneumophila	Philadelphia 1	35	11	<2	<2	20	<2	11	34	13	<2	11		<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Philadelphia 1	35	12	<2	<2	20	<2	11	32	14	<2	11		<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Philadelphia 2	35	13	<2	<2	13	<2	11	39	14	<2	8	2.0	<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Philadelphia 2	35	11	<2	<2	14	<2	11	42	15	<2	5	2.0	<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Philadelphia 3	35	14	<2	<2	14	<2	13	35	16	<2	5	3.0	<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Philadelphia 3	35	14	<2	<2	11	<2	9	43	14	<2	5	4.0	<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Philadelphia 4	35	10	<2	<2	12	<2	12	40	15	<2	7	4.0	<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Philadelphia 4	35	13	<2	<2	13	<2	10	40	14	<2	6	4.0	<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Flint	35	11	<2	<2	20	<2	12	36	10	<2	11		<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Flint	35	11	<2	<2	20	<2	12	32	14	<2	11		<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Pontiac	35	11	<2	<2	11	<2	11	40	14	<2	9	4.0	<2	<2	<2	<2	<2	<2	<2
446	Legionella pneumophila	Pontiac	35	12	<2	<2	12	<2	10	40	14	<2	8	4.0	<2	<2	<2	<2	<2	<2	<2
