Tax ID	Species	Strain	Temp	C14:0	C16:0	C16:1ω9	C16:1ω7	C16:2ω6	C16:3ω3	C18:0	C18:1ω9	C18:1ω7	C18:2ω6	C18:3ω3	C18:4ω3	C20:1ω9	C20:2ω6	C20:3ω6	C20:4ω6	C20:3ω3	C20:4ω3	C20:5ω3	C22:5ω6	C22:5ω3	C22:6ω3
5749	Nannochloropsis salina	Hibberd	20	5.2	28.2	5.7	29.4		0.1	0.8	6.3	0.6	1.9	0.1			0.1	0.4	2.2	0.1		12.4	0.2	0.4	
43925	Nannochloropsis oculata	n-66	20	5.7	29.5	2.0	23.7	0.2	0.1	2.1	4.8	0.3	1.4	0.1	0.1	0.3		1.0	3.9	0.3	0.1	17.8	0.4	0.1	
72520	Nannochloropsis gaditana	B-3	20	5.5	17.3	14.0	26.8	0.3	1.3	0.4	1.4	0.5	0.7	0.2	0.1	0.1	0.1	0.2	1.9	0.1	0.1	17.2	0.2	0.1	0.3
	Nannochloropsis	I	20	7.2	32.1	0.4	26.3	0.1	0.3	0.8	12.7	0.3	0.7	0.1		0.2	0.1	0.1	2.5	0.1		12.1	0.1		
133490	Nannochloris atomus	251/6	20	0.8	22.9		6.6	4.8	8.6	0.6	3.9	0.8	18.3	21.3		0.6	0.4	0.2	0.6	0.1					0.1
133488	Nannochloris maculata	251/3	20	0.8	29.8	2.4	0.5	4.6	9.3	0.5	3.3	2.7	16.7	19.4			0.2	0.2	0.5			0.2		0.3	0.1
	Nannochloris	Palau	20	0.6	28.3	3.8	0.8	4.8	11.2	0.9	4.3	0.1	25.6	15.3		0.1	0.4			0.1		0.2		0.2	0.7
	Chlorella autotrophica	Shihira and Krauss	20	0.4	19.0	2.9	1.3	4.9	15.2	2.7	5.8	1.7	11.9	24.3		2.8	0.4		0.1		0.1	0.1		0.1	0.1
	Chlorella stigmatophora	211/20	20	1.9	24.2	3.8	5.3	4.2	13.2	0.4	5.0	0.8	10.5	18.4	2.5		0.3	0.4	0.3	0.1	0.6	2.9			0.2
3046	Dunaliella salina	Dunal	20	1.3	10.6	35.0		3.5	1.6	0.6	2.2	1.3	6.3	15.6	0.4	0.5				0.1	0.2	0.2			0.2
37099	Isochrysis galbana	T-ISO	20	21.7	8.8	6.7	4.3	0.3	0.4	0.2	10.9	1.5	9.6	7.1	9.8	0.2	0.3		0.2			0.8	1.4		6.9
270643	Tetraselmis suecica	66/4	20	2.7	12.5	17.2	1.0	1.0	0.6	0.2	4.7	2.1	2.5	11.4	8.5	0.8	0.1	0.2	0.2	0.1	0.3	3.9	0.2	0.1	
