Tax ID	Species	Strain	Temp	Phase	Notes	I-C14:0	C14:0	I-C15:0	A-C15:0	C15:0	I-C16:0	C16:0	C16:1	I-C17:0	A-C17:0	C17:0	I-C18:0	C18:1	Unknown
29549	Rhodothermus marinus	ATCC 43812	65	Late Exp	Polar lipid fraction	<1	<1	19.8	23.3	<1	3.1	3.4	<1	32.7	15.4	<1	<1		
29549	Rhodothermus marinus	ATCC 43812	65	Late Exp	Whole cells	<1	<1	18.0	16.2	<1	3.6	3.2	<1	43.6	12.0	<1	1.1		
29549	Rhodothermus	PRQ-36	65	Late Exp	Polar lipid fraction	<1	<1	16.5	21.6	<1	4.5	4.3		30.3	19.4	1.1	<1	<1	
29549	Rhodothermus	PRQ-36	65	Late Exp	Whole cells	<1	<1	15.4	16.0	<1	4.4	4.2	<1	41.1	14.8	<1	1.1	<1	
29549	Rhodothermus	PRQ-40	65	Late Exp	Polar lipid fraction	<1	<1	19.6	18.7	<1	7.6	5.0		28.9	16.8	<1	1.2	<1	<1
29549	Rhodothermus	PRQ-50	65	Late Exp	Polar lipid fraction	<1	<1	20.7	24.5	<1	3.3	4.4	<1	28.5	15.7	<1	<1	<1	<1
29549	Rhodothermus	PRQ-50	65	Late Exp	Whole cells	<1	<1	17.4	14.2	<1	3.7	4.8		43.3	12.4	<1	1.3	<1	<1
29549	Rhodothermus	PRQ-52	65	Late Exp	Polar lipid fraction	<1	<1	19.2	23.2	<1	5.4	3.9	<1	31.0	13.5	<1	<1	<1	
29549	Rhodothermus	PRQ-52	65	Late Exp	Whole cells	<1	<1	17.9	16.3	<1	5.4	3.4		40.8	11.9	<1	<1	<1	<1
29549	Rhodothermus	PRQ-55	65	Late Exp	Polar lipid fraction	<1	<1	16.5	25.5	<1	3.1	3.8	<1	30.8	17.9	<1	<1	<1	<1
29549	Rhodothermus	PRQ-55	65	Late Exp	Whole cells	<1	<1	14.9	16.8	<1	3.2	4.2		44.5	13.3	<1	1	<1	<1
300852	Thermus thermophilus	HB-8; ATCC 27634	65	Late Exp	Polar lipid fraction	<1	<1	31.1	9.6	<1	4.6	2.0	<1	39.6	10.4	<1	<1	<1	
274	Thermus	B; NCIMB 11247	65	Late Exp	Polar lipid fraction	<1	<1	5.6	19.5		2.7	1.5	<1	17.2	51.3		<1		
1422	Bacillus stearothermophilus	ATCC 12016	65	Late Exp	Polar lipid fraction	<1	<1	40.1	6.2	1.3	11.4	1.4	<1	22.3	14.7	<1	<1	<1	<1
