Ref Loc	Species	Temp	Notes	C14:0	C14:1	C16:0	C16:1	C16:2	C16:3	C16:4	C18:0	C18:1	C18:2	C18:3	C20:2	C20:4	C20:5
Table 4	Chlamydamonas reinhardtii	29		3.0		26.6	3.2	2.9	3.3	10.9		16.7	10.2	23.1			
Table 4	Chlamydamonas reinhardtii	29	4% CO2	1.5		38.2	0.2	0.2	0.8	8.9		18.7	11.3	20.1			
Table 4	Dunaliella tertiolecta	29		0.8		22.9	6.3	2.5	2.4	16.1		2.8	10.8	35.2			
Table 4	Dunaliella tertiolecta	29	5% CO2	1.4		24.2	2.3	3.4	2.8	17.3		5.0	12.4	30.9			
Table 4	Porphyridium cruentum	29				46.9	2.1						8.8			21.9	20.3
Table 4	Porphyridium cruentum	29	5% CO2			44.8	3.1				0.7	1.3	8.1	0.5		22.1	19.4
Table 4	Anabeena variabilis	29		3.4		35.8	21.4	1.9				7.4	14.3	16.0			
Table 4	Anabeena variabilis	29	5% CO2	4.8		35.4	17.0	2.3				7.5	15.5	17.6			
Table 4	Anacystis nidulans	29		4.0	4.1	49.2	38.7					4.0					
Table 4	Anacystis nidulans	29	5% CO2	2.9	3.0	49.9	38.8					5.4					
Table 4	Euglena gracilis	25				23.4	11.6					7.7	9.2	24.6	2.9	5.1	15.5
Table 4	Euglena gracilis	25	5% CO2			25.6	9.2					7.6	6.9	30.8	2.8	5.3	12.4
