Ref Loc	Species	Strain	Temp	Medium	Phase	C12:0	C14:0	C15:0	C16:0	C17:0	C18:0	C20:0	C22:0	C24:0	C16:1ω10c	C16:1ω9c	C16:1ω7c	C16:1ω5c	C16:1ω13t	C18:1ω10c	C18:1ω9c	C18:1ω7c	C20:1ω9c	C16:2ω7	C16:2ω6	C16:2ω4	C16:3ω6	C16:3ω4	C16:3ω3	C16:4ω3	C16:4ω1	C18:2ω9,12c	C18:2ω6,9c	C18:3ω6,9,12c	C18:3ω3,6,9c	C18:4ω3	C18:5ω3	C20:4ω6	C20:4ω3	C20:5ω3	C22:5ω6	C22:6ω3	Unknown
Table 4	Chaetoceros calcitrans	CS-178	20	f2	End Log	<0.1	17.5	0.8	10.7	0.3	0.8	<0.1	<0.1	0.1			30.0	0.1	0.7		2.8	0.2		3.5		1.6		8.0			0.3	0.8	0.8	0.4	<0.1	0.5		5.7	0.2	11.1		0.8	2.3
Table 4	Chaetoceros gracilis	CS-176	20	f2	End Log	<0.1	8.8	1	23.3	0.3	4.1	0.3	0.6	0.3			33.4	0.1	1.2		3.6	1.7		2.9		1.7		2.3				2	0.5	0.8		0.2		4.5	<0.1	4.6		0.3	1.5
Table 4	Chaetoceros gracilis	CS-176	20	f2	End Log	<0.1	11.6	1.2	17.8	0.2	3.1	0.2	0.6	0.8			26.8	0.2	1.6		6.0	3.9	<0.1	2.4		0.7		2.2			<0.1	4.2	0.7	1.1		1.2		6.2	<0.1	5.7		0.4	1.2
Table 4	Skeletonema costatum	CS-181	20	f2	End Log	<0.1	20.1	1.2	16.5	0.6	0.8	<0.1	<0.1	<0.1			28.6	0.6	1.3		1.4	0.1		3.3		3.5		3.7			2.6		2.2	0.3	0.3	2.2			<0.1	6.0		2	2.7
Table 4	Thalassiosira pseudonana	CS-173	20	G2	End Log	<0.1	14.3	0.8	11.2	0.1	0.7	0.1	<0.1	<0.1			18.0	0.3	0.4		0.5	0.1	0.2	2.7		4.5		12.7			2.3	<0.1	0.4	0.2	0.1	5.3		0.3	0.3	19.3		3.9	1.3
Table 4	Isochrysis	CS-177	20	f2	End Log	<0.1	16.0	0.5	14.5	<0.1	0.2	0.3	0.6	<0.1		0.3	4.2				20.1	1.3	0.2	0.5		0.7		1.4					2.5	2.4	3.6	17.4	2.5			0.2	1.8	8.3	0.5
Table 4	Pavlova lutheri	CS-182	20	f2	End Log	0.3	11.5	0.5	21.3	0.2	1.3	0.3	0.3	0.2			16.8	<0.1		0.3	1.7	1.4	0.2	0.2		0.2		0.4				0.4	1.5	0.4	1.8	6.0		<0.1		19.7	2	9.4	1.8
Table 5	Dunaliella tertiolecta	CS-175	20	f2	End Log	<0.1	0.2	<0.1	14.7	0.1	0.4	<0.1	<0.1	<0.1		0.1	0.1		2.7		2.0	0.3			0.7				4.2	21.0			4.8	2.7	43.5	1.0							1.5
Table 5	Nannochloris atomus	CS-183	20	f2	End Log	<0.1	0.6	0.1	20.1	<0.1	1.1	0.1	<0.1	0.1	0.5	1.3	0.6		8.9		4.9	0.4			4.2		0.9		14.4				10.3	<0.1	21.7	2.7		0.5	1.1	3.2		<0.1	2.3
Table 5	Tetraselmis suecica	CS-187	20	f2	End Log	0.1	0.6	0.3	20.3	<0.1	0.9	<0.1	0.2	<0.1		0.9	0.3		1.5		12.0	0.4	1.6		1.1		4.6		<0.1	13.7			13.8	0.7	11.1	8.4		1.5	0.3	4.3		<0.1	1.5
Table 5	Tetraselmis suecica	CS-187	20	f2	End Log	0.7	0.9	0.3	24.0	0.3	0.6		<0.1			1.2	0.3		0.8		14.5	1.1	2.6		1.8		6.0		0.5	7.9			13.9	2.7	4.6	4.8		2.1	0.1	5.3		<0.1	3.0
Table 5	Chroomonas salina	CS-174	20	fE	End Log	0.1	8.6	0.3	15.1	0.4	0.9	<0.1	0.1	<0.1	0.2	0.1	0.5		1.3	0.1	2.9	3.5											11.6	3	11.9	19.8		1	0.9	10.9	<0.1	5.7	1.1
Table 5	Chroomonas salina	CS-174	20	fE	End Log	<0.1	8.2	0.2	12.9	0.2	0.7	<0.1	<0.1	<0.1		0.2	0.6		1.2	0.4	2.3	3.2											10.5	2.6	14.2	21.3		0.9	1	11.9	0.3	5.2	2.0
