Ref Loc	Species	Strain	C14:0	C15:0	C16:0	C17:0	C18:0	C16:1	C18:1	I-C13:0	I-C14:0	I-C15:0	I-C16:0	I-C17:0	I-C18:0
Table 3	Clostridium thermobutyricum	DSM 4928	11.9		23.2	1	0.7	1.1	0.7	<0.5	7.4	41.5	3.3	7.3	1.7
Table 3	Caloramator fervidus	ATCC 43204	10.1	<0.5	4.7		1.7	1.3	1.3	<0.5	2.1	61.7	2.7	12.3	1.2
Table 3	Thermoanaerobacter thermohydrosulfuricus	DSM 567	0.5	7.6	11.2		1.2		3.7			47.3	3.1	23.3	2.1
Table 3	Thermoanaerobacter thermocopriae	IAM 13577	<0.5	5	1.1	10.3	1.8			<0.5		54.1	1.6	24.7	0.5
Table 3	Thermoanaerobacterium thermosulfurigenes	DSM 2229	<0.5	4.1	12.7	3.6	1.2		2.6	<0.5	<0.5	42.4	4.6	23.3	4.0
Table 3	Thermoanaerobacterium thermosaccharolyticum	DSM 571	32.5		25.5	<0.5	1.5		<0.5			21.6		16.7	1.3
Table 3	Moorella thermoacetica	DSM 521	1.4	2.4	21.0	<0.5	3.3	1.9	1.2	<0.5		39.7		28.0	
Table 3	Moorella thermoautotrophica	DSM 1974	6.6	3.5	10.0	<0.5	1.0	2.9	5.3	0.8		36.2	6.8	22.1	4.7
Table 3	Clostridium stercorarium	NCIMB 11754			0.6	4.9	0.6			0.7		63.7	2.6	25.7	1.2
Table 3	Clostridium thermolacticum	DSM 2910	3.4	<0.5	55.7		1.4		1.6		<0.5	4.9	5.6	26.1	1.0
Table 3	Ruminiclostridium thermocellum	DSM 1237	<0.5	0.7	13.4	<0.5	5.7		0.6		<0.5	1.4	32.0	15.4	30.4
