File	Reference Location	Reference
alazard_et_al_2007.tsv	Table 2	Alazard, D. et al., 2007. Tindallia texcoconensis sp. nov., a new haloalkaliphilic bacterium isolated from lake Texcoco, Mexico. Extremophiles, 11(1), pp.33–39. 
alves_et_al_2003.tsv	Table 2	Alves, M.P. et al., 2003. Thermomonas hydrothermalis sp. nov., a new slightly thermophilic gamma-proteobacterium isolated from a hot spring in central Portugal. Systematic and Applied Microbiology, 26(1), pp.70–75. 
annous_et_al_1997.tsv	Table 1	Annous, B.A. et al., 1997. Critical role of anteiso-C15:0 fatty acid in the growth of Listeria monocytogenes at low temperatures. Applied and Environmental Microbiology, 63(10), pp.3887–3894. 
balkwill_et_al_1997.tsv	Table 5	Balkwill, D.L. et al., 1997. Taxonomic Study of Aromatic-Degrading Bacteria from Deep-Terrestrial-Subsurface Sediments and Description of Sphingomonas aromaticivorans sp. nov., Sphingomonas subterranea sp. nov., and Sphingomonas stygia sp. nov. International Journal of Systematic Bacteriology, 47(1), pp.191–201. 
beach_et_al_1970.tsv	Table 2	Beach, D.H., Harrington, G.W. & Holz, G.G., 1970. The Polyunsaturated Fatty Acids of Marine and Freshwater Cryptomonads1. The Journal of Protozoology, 17(3), pp.501–510. 
bernardet_et_al_1996.tsv	Table 4	Bernardet, J.-F. et al., 1996. Cutting a Gordian Knot: Emended Classification and Description of the Genus Flavobacterium, Emended Description of the Family Flavobacteriaceae, and Proposal of Flavobacterium hydatis nom. nov. (Basonym, Cytophaga aquatilis Strohl and Tait 1978). International Journal of Systematic Bacteriology, 46(1), pp.128–148. 
bhakoo_and_herbert_1979.tsv	Table 2	Bhakoo, M. & Herbert, R.A., 1979. The effects of temperature on the fatty acid and phospholipid composition of four obligately psychrophilicVibrio Spp. Archives of Microbiology, 121(2), pp.121–127. 
blumer_et_al_1969.tsv	Table 3	Blumer, M., Chase, T. & Watson, S.W., 1969. Fatty Acids in the Lipids of Marine and Terrestrial Nitrifying Bacteria. Journal of Bacteriology, 99(2), pp.366–370. 
bodelier_et_al_2009.tsv	Table 1	Bodelier, P.L.E. et al., 2009. A reanalysis of phospholipid fatty acids as ecological biomarkers for methanotrophic bacteria. The ISME Journal, 3(5), pp.606–617. 
boon_et_al_1977.tsv	Table 1	Boon, J.J. et al., 1977. Significance and taxonomic value of iso and anteiso monoenoic fatty acids and branded beta-hydroxy acids in Desulfovibrio desulfuricans. Journal of Bacteriology, 129(3), pp.1183–1191. 
